                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.42296,                0.54322,                 1.0244,                0.79421,                0.68862,                0.75819,                 0.6693,                0.52194,                0.92829,                 1.0783,               0.005182,               0.005182,               0.005182
                     76,                0.42657,                0.54169,                 1.0214,                 0.8002,                0.68908,                0.75749,                0.66603,                0.52961,                  0.928,                 1.0851,               0.005116,               0.005116,               0.005116
                     77,                 0.4218,                0.53548,                 1.0205,                0.77618,                0.69944,                 0.7568,                0.66978,                0.52265,                0.93673,                 1.0808,                0.00505,                0.00505,                0.00505
                     78,                0.42665,                0.52478,                 1.0198,                0.79175,                0.69824,                0.75906,                0.66974,                0.52326,                0.93063,                 1.0778,               0.004984,               0.004984,               0.004984
                     79,                0.42928,                 0.5313,                 1.0186,                 0.7997,                0.69566,                0.76015,                0.66974,                0.51992,                0.92856,                 1.0782,               0.004918,               0.004918,               0.004918
                     80,                0.41442,                0.52208,                 1.0146,                0.80687,                0.69456,                0.76325,                0.67234,                0.52313,                 0.9084,                 1.0816,               0.004852,               0.004852,               0.004852
                     81,                0.41504,                0.51086,                  1.014,                0.78847,                0.70926,                0.76307,                0.67116,                0.52606,                0.92683,                 1.0854,               0.004786,               0.004786,               0.004786
                     82,                 0.4171,                0.52087,                 1.0133,                0.78027,                0.71601,                0.76015,                0.66844,                0.52162,                0.92162,                 1.0833,                0.00472,                0.00472,                0.00472
                     83,                0.40937,                0.51397,                 1.0166,                0.78654,                0.70384,                0.75865,                 0.6686,                0.52595,                0.92384,                 1.0873,               0.004654,               0.004654,               0.004654
                     84,                0.40677,                0.50841,                 1.0114,                0.79674,                0.69479,                 0.7576,                0.66868,                0.52219,                0.93319,                 1.0831,               0.004588,               0.004588,               0.004588
