                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.71528,                0.47723,                 1.1103,                0.97784,                0.94914,                0.98455,                0.85006,                 0.6127,                0.35927,                 1.0353,             0.00087484,             0.00087484,             0.00087484
                     51,                0.69942,                0.47297,                 1.1048,                0.98912,                0.96874,                0.98968,                0.85251,                0.63045,                0.33137,                 1.0551,             0.00085834,             0.00085834,             0.00085834
                     52,                0.69972,                 0.4718,                 1.1052,                0.98421,                0.95159,                0.98714,                0.84861,                0.61994,                0.38691,                 1.0511,             0.00084184,             0.00084184,             0.00084184
                     53,                0.70058,                0.47526,                 1.1042,                 0.9801,                0.96864,                0.98827,                0.85288,                0.60414,                0.34701,                 1.0362,             0.00082533,             0.00082533,             0.00082533
                     54,                0.69249,                 0.4708,                 1.0952,                0.98439,                0.95844,                0.99055,                 0.8556,                0.61279,                0.33777,                 1.0446,             0.00080883,             0.00080883,             0.00080883
                     55,                0.67567,                0.46877,                 1.0933,                0.98887,                0.96187,                0.99037,                0.86316,                0.60272,                0.32421,                 1.0292,             0.00079233,             0.00079233,             0.00079233
                     56,                0.69081,                0.46071,                 1.1006,                0.96038,                0.96263,                0.99108,                0.85593,                0.61008,                0.36694,                 1.0254,             0.00077582,             0.00077582,             0.00077582
                     57,                 0.6947,                0.46614,                 1.1011,                0.98506,                 0.9623,                0.99075,                0.86631,                0.59536,                0.32903,                 1.0259,             0.00075932,             0.00075932,             0.00075932
                     58,                0.68972,                0.45529,                 1.0872,                0.98153,                0.96411,                0.98994,                0.86099,                0.61291,                 0.3279,                 1.0283,             0.00074282,             0.00074282,             0.00074282
                     59,                0.68423,                0.45563,                  1.086,                0.98195,                0.96471,                0.99198,                0.85022,                0.60901,                0.32421,                 1.0373,             0.00072631,             0.00072631,             0.00072631
                     60,                0.68195,                0.46336,                 1.0895,                0.99391,                0.96837,                0.99172,                0.85987,                0.62533,                0.33905,                 1.0501,             0.00070981,             0.00070981,             0.00070981
                     61,                0.68178,                0.45722,                 1.0857,                0.98532,                0.96845,                0.99056,                0.86184,                0.60237,                0.33346,                 1.0435,             0.00069331,             0.00069331,             0.00069331
                     62,                0.67476,                0.45354,                 1.0917,                0.96334,                0.97685,                0.99214,                0.86085,                0.60044,                0.32312,                 1.0298,              0.0006768,              0.0006768,              0.0006768
