                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.75152,                0.57901,                 1.3538,                0.98646,                0.95618,                0.99142,                0.84828,                0.61232,                0.48388,                 1.2073,             0.00049527,             0.00049527,             0.00049527
                     74,                0.74591,                0.58238,                 1.3478,                0.98424,                0.96183,                0.99163,                0.85417,                0.60771,                 0.4059,                 1.2066,             0.00047876,             0.00047876,             0.00047876
                     75,                0.73897,                  0.568,                 1.3291,                0.97932,                0.96427,                0.99194,                0.85314,                0.60709,                0.41636,                 1.2024,             0.00046226,             0.00046226,             0.00046226
                     76,                0.73526,                0.57245,                 1.3391,                0.99064,                 0.9596,                 0.9918,                0.85089,                 0.6092,                0.39822,                 1.2025,             0.00044576,             0.00044576,             0.00044576
                     77,                 0.7319,                0.57891,                 1.3332,                 0.9754,                0.97504,                0.99218,                0.85574,                0.59731,                0.40413,                 1.1766,             0.00042925,             0.00042925,             0.00042925
                     78,                0.71945,                0.55928,                 1.3174,                 0.9812,                0.97165,                0.99112,                0.85628,                  0.597,                0.46053,                 1.1838,             0.00041275,             0.00041275,             0.00041275
                     79,                0.72372,                 0.5534,                 1.3242,                0.98989,                0.94843,                0.99058,                0.85583,                0.60542,                0.44638,                 1.2029,             0.00039625,             0.00039625,             0.00039625
                     80,                0.72488,                0.55537,                 1.3301,                0.98063,                0.96528,                0.99006,                0.85632,                0.59909,                0.43116,                 1.1853,             0.00037974,             0.00037974,             0.00037974
                     81,                0.71364,                 0.5378,                 1.3101,                0.98736,                0.96282,                0.99234,                 0.8565,                 0.5944,                0.38958,                 1.1828,             0.00036324,             0.00036324,             0.00036324
                     82,                0.71148,                0.54292,                 1.3163,                0.97186,                0.97049,                0.99149,                0.85988,                0.59863,                0.38198,                 1.1886,             0.00034674,             0.00034674,             0.00034674
                     83,                0.72154,                0.54009,                 1.3249,                0.97372,                0.96525,                 0.9909,                0.85787,                0.59099,                0.41295,                 1.1827,             0.00033023,             0.00033023,             0.00033023
                     84,                0.69345,                 0.5277,                    1.3,                0.99092,                0.96045,                0.99222,                0.86086,                0.58766,                0.39167,                 1.1744,             0.00031373,             0.00031373,             0.00031373
                     85,                0.71066,                0.54206,                 1.3301,                0.98085,                0.96427,                0.99144,                0.85388,                0.59309,                0.37165,                 1.1863,             0.00029723,             0.00029723,             0.00029723
                     86,                0.69999,                0.52315,                 1.3013,                0.97775,                0.97463,                0.98969,                0.85866,                 0.5956,                0.38827,                 1.1887,             0.00028072,             0.00028072,             0.00028072
                     87,                0.70233,                0.52576,                 1.3111,                0.99025,                0.96602,                0.99205,                0.86091,                0.58376,                0.34921,                 1.1661,             0.00026422,             0.00026422,             0.00026422
                     88,                0.69363,                0.51665,                 1.2986,                0.98176,                0.97146,                0.99222,                0.86248,                0.58334,                0.35974,                 1.1619,             0.00024772,             0.00024772,             0.00024772
                     89,                0.70125,                0.51704,                 1.3075,                0.98769,                0.98165,                0.99296,                0.86414,                0.58112,                0.34927,                 1.1691,             0.00023121,             0.00023121,             0.00023121
                     90,                0.68908,                0.51156,                 1.2963,                0.98797,                0.96525,                0.99202,                0.86776,                0.57572,                0.38555,                 1.1595,             0.00021471,             0.00021471,             0.00021471
                     91,                0.52355,                0.34587,                 1.1359,                0.99324,                0.96667,                0.99402,                0.86752,                0.57785,                0.35778,                 1.1622,             0.00019821,             0.00019821,             0.00019821
                     92,                0.51686,                0.32562,                 1.1262,                0.99273,                0.97648,                0.99197,                0.86621,                0.57929,                0.35435,                 1.1668,              0.0001817,              0.0001817,              0.0001817
                     93,                0.51187,                0.32372,                 1.1253,                0.98743,                0.98241,                0.99304,                0.86735,                0.57093,                0.33443,                 1.1578,              0.0001652,              0.0001652,              0.0001652
                     94,                0.50257,                0.31789,                 1.1036,                0.99291,                0.97071,                0.99255,                0.86884,                0.57069,                0.36027,                 1.1533,              0.0001487,              0.0001487,              0.0001487
                     95,                0.50625,                0.31543,                 1.1194,                0.99465,                0.97472,                0.99311,                 0.8676,                0.57207,                0.35584,                 1.1582,             0.00013219,             0.00013219,             0.00013219
                     96,                0.49859,                0.30475,                 1.1103,                0.99177,                0.97766,                0.99338,                0.86768,                0.56869,                0.33585,                 1.1538,             0.00011569,             0.00011569,             0.00011569
                     97,                0.49251,                0.30628,                 1.1097,                0.99303,                0.97574,                0.99283,                0.86583,                0.57111,                0.33438,                 1.1607,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 0.4884,                 0.3044,                 1.1013,                0.99347,                0.97725,                0.99334,                0.87432,                0.56304,                0.32701,                 1.1491,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 0.4905,                0.30081,                 1.1005,                 0.9941,                0.97715,                0.99345,                0.87115,                0.56593,                0.32473,                 1.1496,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.49069,                  0.295,                 1.1019,                0.99692,                0.98074,                0.99345,                0.87262,                0.56123,                0.33045,                 1.1475,             4.9677e-05,             4.9677e-05,             4.9677e-05
